Cage,Block,Treatment,Apterae,Alates,Aphids,InBag,Thrips,LaidEggs
1,1,Control,35,0,35,0,0,0
2,1,Larva,27,0,27,2,0,0
4,2,Control,20,0,20,0,0,0
6,2,Adult,18,0,18,0,1,0
7,3,Control,57,0,57,0,0,0
8,3,Larva,20,0,20,1,1,0
9,3,Adult,31,0,31,0,1,0
10,4,Control,32,0,32,0,1,0
11,4,Larva,18,0,18,0,1,0
12,4,Adult,24,0,24,0,1,0
13,5,Control,43,0,43,0,1,0
14,5,Larva,14,1,15,0,1,0
15,5,Adult,9,0,9,2,0,1
16,6,Control,23,0,23,0,1,0
17,6,Larva,26,0,26,2,1,0
18,6,Adult,37,0,37,0,1,0
19,7,Control,55,0,55,0,0,0
20,7,Larva,39,0,39,0,0,0
21,7,Adult,28,0,28,0,0,0
22,8,Control,14,0,14,1,0,0
23,8,Larva,20,0,20,1,0,0
24,8,Adult,18,1,19,1,0,1
25,9,Control,47,0,47,0,1,0
26,9,Larva,7,0,7,0,1,0
27,9,Adult,31,1,32,0,1,0
28,10,Control,38,0,38,0,0,0
29,10,Larva,14,0,14,0,0,0
30,10,Adult,15,0,15,0,1,0
