CageID,Round,Pretreatment,Treatment,Aphids
14,2,Adults,Control,2
14,2,Adults,Treatment,8
7,2,Adults,Control,12
7,2,Adults,Treatment,6
9,2,Adults,Control,13
9,2,Adults,Treatment,5
13,2,Adults,Control,10
13,2,Adults,Treatment,9
10,2,Adults,Control,9
10,2,Adults,Treatment,4
8,2,Adults,Control,10
8,2,Adults,Treatment,4
5,2,Adults,Control,6
5,2,Adults,Treatment,10
1,2,Adults,Control,3
1,2,Adults,Treatment,9
4,2,Adults,Control,4
4,2,Adults,Treatment,19
12,2,Adults,Control,9
12,2,Adults,Treatment,11
2,2,Adults,Control,3
2,2,Adults,Treatment,13
11,2,Adults,Control,17
11,2,Adults,Treatment,1
8,1,Adults,Control,2
8,1,Adults,Treatment,13
9,1,Adults,Control,12
9,1,Adults,Treatment,2
13,1,Adults,Control,1
13,1,Adults,Treatment,17
14,1,Adults,Control,13
14,1,Adults,Treatment,4
13,2,Larvae,Control,13
13,2,Larvae,Treatment,4
15,2,Larvae,Control,5
15,2,Larvae,Treatment,10
14,2,Larvae,Control,14
14,2,Larvae,Treatment,6
12,2,Larvae,Control,12
12,2,Larvae,Treatment,2
11,2,Larvae,Control,14
11,2,Larvae,Treatment,1
3,2,Larvae,Control,9
3,2,Larvae,Treatment,10
1,2,Larvae,Control,0
1,2,Larvae,Treatment,13
8,2,Larvae,Control,12
8,2,Larvae,Treatment,5
4,2,Larvae,Control,10
4,2,Larvae,Treatment,5
6,2,Larvae,Control,5
6,2,Larvae,Treatment,5
1,1,Larvae,Control,13
1,1,Larvae,Treatment,2
2,1,Larvae,Control,6
2,1,Larvae,Treatment,14
3,1,Larvae,Control,9
3,1,Larvae,Treatment,8
4,1,Larvae,Control,5
4,1,Larvae,Treatment,10
6,1,Larvae,Control,12
6,1,Larvae,Treatment,5
2,3,Adults,Treatment,5
2,3,Adults,Control,5
3,3,Adults,Treatment,12
3,3,Adults,Control,6
4,3,Adults,Treatment,4
4,3,Adults,Control,9
5,3,Adults,Treatment,7
5,3,Adults,Control,9
7,3,Adults,Treatment,5
7,3,Adults,Control,7
9,3,Adults,Treatment,0
9,3,Adults,Control,11
12,3,Adults,Treatment,2
12,3,Adults,Control,8
14,3,Adults,Treatment,10
14,3,Adults,Control,3
15,3,Adults,Treatment,2
15,3,Adults,Control,17
1,3,Larvae,Treatment,9
1,3,Larvae,Control,9
5,3,Larvae,Treatment,11
5,3,Larvae,Control,5
6,3,Larvae,Treatment,6
6,3,Larvae,Control,13
8,3,Larvae,Treatment,6
8,3,Larvae,Control,11
9,3,Larvae,Treatment,7
9,3,Larvae,Control,3
11,3,Larvae,Treatment,4
11,3,Larvae,Control,9
14,3,Larvae,Treatment,10
14,3,Larvae,Control,5
